City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
Puerto Ayora,EC,-0.7393,-90.3518,82.81,79,11.5,20
Tokur,RU,53.1333,132.9,-28.28,87,3.15,79
Nongstoin,IN,25.5167,91.2667,53.89,80,4.92,1
Atasū,KZ,48.6814,71.6433,11.97,94,10.96,34
Severo-Kuril'sk,RU,50.6789,156.125,34.63,88,19.53,79
Ribeira Grande,PT,38.5167,-28.7,59.0,77,4.61,40
Hilo,US,19.7297,-155.09,67.6,78,4.21,90
Henties Bay,NA,-22.116,14.2845,70.57,61,7.49,0
Shimoda,JP,34.6667,138.95,48.0,94,9.95,98
Kampot,KH,10.6167,104.1833,77.0,83,5.75,0
Kawalu,ID,-7.3817,108.2082,72.37,87,2.28,81
Sindou,BF,10.6667,-5.1667,85.73,41,5.64,98
Hithadhoo,MV,-0.6,73.0833,83.5,64,5.3,1
Butaritari,KI,3.0707,172.7902,80.71,76,15.59,100
Consolación del Sur,CU,22.5047,-83.5136,82.31,37,4.54,38
New Norfolk,AU,-42.7826,147.0587,53.6,58,12.66,75
Sur,OM,22.5667,59.5289,82.69,33,11.1,0
Belton,US,38.812,-94.5319,54.5,35,6.91,90
Aasiaat,GL,68.7098,-52.8699,13.86,95,9.46,0
Bredasdorp,ZA,-34.5322,20.0403,68.0,83,8.05,0
Nemuro,JP,43.3236,145.575,37.4,91,17.09,100
Coyhaique,CL,-45.5752,-72.0662,86.0,14,3.44,0
Mount Isa,AU,-20.7333,139.5,59.0,44,12.1,0
Flinders,AU,-34.5833,150.8552,59.0,82,1.99,32
Albany,US,42.6001,-73.9662,29.98,24,4.0,25
Bambous Virieux,MU,-20.3428,57.7575,76.53,83,3.44,40
Jalu,LY,29.0331,21.5482,62.22,29,11.95,0
Tumpat,MY,6.1978,102.171,80.6,83,10.36,20
Mehamn,NO,71.0357,27.8492,21.11,68,16.11,0
Rawson,AR,-43.3002,-65.1023,76.46,47,26.84,0
Peace River,CA,56.2501,-117.286,33.8,64,5.75,90
George Town,MY,5.4112,100.3354,81.61,78,3.44,20
Wanning,CN,18.8003,110.3967,72.16,94,7.25,76
Santa Marta,CO,11.2408,-74.199,86.0,66,16.4,4
Cap-aux-Meules,CA,47.3821,-61.8597,17.6,86,14.97,100
Bathsheba,BB,13.2167,-59.5167,84.2,54,18.41,40
Fortuna,US,40.5982,-124.1573,48.27,91,6.35,100
Oddur,SO,4.1213,43.8894,73.69,52,18.14,11
Carnarvon,AU,-24.8667,113.6333,73.4,100,11.5,1
Hobart,AU,-42.8794,147.3294,53.6,58,12.66,75
Aksu,CN,41.1231,80.2644,41.72,66,8.81,78
Dingle,PH,10.9995,122.6711,74.75,90,7.58,86
Tual,ID,-5.6667,132.75,82.81,77,11.99,100
Longyearbyen,SJ,78.2186,15.6401,6.8,66,32.21,40
Iskateley,RU,67.6803,53.1512,-11.85,90,8.43,83
Ponta do Sol,PT,32.6667,-17.1,53.98,60,5.99,28
Cashel,IE,52.5158,-7.8856,38.35,65,4.61,75
Sangar,RU,63.9242,127.4739,-38.2,82,3.04,23
Boguchany,RU,58.3814,97.4531,25.16,96,10.27,100
Kutum,SD,14.2,24.6667,63.1,25,10.02,0
Dubréka,GN,9.7911,-13.5233,84.2,74,9.22,92
Teshie,GH,5.5836,-0.1072,84.2,84,17.27,20
Talakan,RU,50.3167,130.3667,-19.46,86,3.71,78
Barrow,US,71.2906,-156.7887,-9.4,70,20.71,75
Abirāmam,IN,9.4667,78.45,76.64,76,6.33,100
Trairi,BR,-3.2778,-39.2689,82.45,70,13.18,100
Manavālakurichi,IN,8.1333,77.3,82.4,78,2.3,20
Beringovskiy,RU,63.05,179.3167,-17.23,87,4.63,96
Komsomolets,KZ,53.7453,62.0708,28.38,96,17.49,28
Praia da Vitória,PT,38.7333,-27.0667,60.03,77,6.06,0
Cabo San Lucas,MX,22.8909,-109.9124,76.17,49,9.22,1
Grindavik,IS,63.8424,-22.4338,42.8,100,16.11,90
Geraldton,AU,-28.7667,114.6,66.2,88,4.61,75
Lhokseumawe,ID,5.1801,97.1507,77.7,84,4.61,26
Lozova,UA,48.8894,36.3176,33.17,97,8.23,100
Bandar-e Lengeh,IR,26.5579,54.8807,73.42,64,12.88,0
Faanui,PF,-16.4833,-151.75,81.7,78,14.14,100
Murchison,NZ,-41.8,172.3333,55.56,84,1.83,54
Tezu,IN,27.9167,96.1667,64.94,48,6.08,100
São Filipe,CV,14.8961,-24.4956,70.81,74,12.77,34
Hannibal,US,39.7084,-91.3585,50.72,24,6.91,1
Lagoa,PT,39.05,-27.9833,57.97,73,8.01,100
Lata,PT,40.1629,-8.3327,56.08,78,7.0,2
Arroio Grande,BR,-32.2375,-53.0869,76.82,68,10.18,11
College,US,64.8569,-147.8028,5.4,71,0.43,75
Bonavista,CA,48.6499,-53.1147,35.11,75,8.05,66
Kargopol',RU,61.5071,38.9456,0.54,93,4.09,21
Itoman,JP,26.1247,127.6694,63.54,68,6.91,75
Krasnovishersk,RU,60.4078,57.082,6.12,94,5.06,100
Labuhan,ID,-6.8844,112.2051,78.42,82,5.5,100
Saint George,US,37.1041,-113.5841,63.46,35,3.24,1
Marawi,PH,7.9986,124.2928,73.99,91,5.01,94
Peterhead,GB,57.5058,-1.7981,31.1,80,2.3,100
San Juan,AR,-31.5375,-68.5364,93.56,24,10.04,0
Sola,VU,-13.8833,167.55,82.31,82,22.53,98
Sarakhs,IR,36.5449,61.1577,53.6,66,4.61,100
Bengkulu,ID,-3.8004,102.2655,76.19,89,3.6,100
Strakonice,CZ,49.2614,13.9024,23.7,99,2.53,0
Arcata,US,40.8665,-124.0828,49.05,100,4.61,90
Moose Factory,CA,51.2585,-80.6094,11.28,79,18.41,90
Asău,RO,46.4333,26.4,37.0,60,2.86,79
Miandrivazo,MG,-19.5167,45.4667,74.48,90,2.95,100
Kapustin Yar,RU,48.5831,45.7372,37.69,95,8.41,100
Sosnovo-Ozerskoye,RU,52.5249,111.5418,-10.53,90,3.78,40
Diffa,NE,13.3154,12.6113,76.96,17,8.23,0
Troitskoye,RU,52.9821,84.6757,26.02,91,19.66,99
Khatanga,RU,71.9667,102.5,-19.86,85,9.84,93
Port Hardy,CA,50.6996,-127.4199,44.6,93,5.75,75
Sisimiut,GL,66.9395,-53.6735,19.4,95,14.27,26
Varhaug,NO,58.6147,5.6457,35.67,94,15.19,78
San Matías,BO,-16.3667,-58.4,79.0,86,7.85,91
Quang Ngai,VN,15.1167,108.8,69.33,85,6.13,61
Husavik,IS,66.0449,-17.3389,37.4,75,12.66,75
Wajid,SO,3.8093,43.2471,82.8,26,22.32,41
Yeppoon,AU,-23.1333,150.7333,68.0,88,3.42,0
Inírida,CO,3.8653,-67.9239,86.31,59,2.04,94
Curuguaty,PY,-24.4694,-55.6945,77.49,88,5.88,41
Maceió,BR,-9.6658,-35.7353,82.4,69,11.5,40
Mahébourg,MU,-20.4081,57.7,77.0,83,3.44,40
Lorengau,PG,-2.0226,147.2712,81.68,78,9.78,100
Aklavik,CA,68.2191,-135.0107,-14.8,70,6.91,20
Makat,KZ,47.6469,53.3463,33.08,93,15.3,94
Waverley,ZA,-25.7023,28.2591,63.39,94,3.44,39
Nosy Varika,MG,-20.5833,48.5333,74.97,91,3.87,100
Copiapó,CL,-27.3667,-70.3333,75.2,53,10.36,20
Kalmunai,LK,7.4167,81.8167,77.09,83,6.26,100
Yulara,AU,-25.2406,130.9889,77.0,25,8.05,96
Ondjiva,AO,-17.0667,15.7333,71.44,49,5.57,5
Tessalit,ML,20.1986,1.0114,75.49,19,6.13,24
Airai,TL,-8.9266,125.4092,59.76,100,0.96,69
Dauriya,RU,49.9333,116.8667,-12.95,83,4.05,0
Saint-Philippe,RE,-21.3585,55.7679,75.09,78,6.91,90
Władysławowo,PL,54.7909,18.4009,27.55,86,6.91,0
Cherskiy,RU,68.75,161.3,-8.95,90,12.57,100
Chokurdakh,RU,70.6333,147.9167,-8.63,90,18.34,100
Taloqan,AF,36.7361,69.5345,53.13,43,4.18,100
Cambridge,CA,43.3601,-80.3127,30.4,51,27.63,1
Wasilla,US,61.5814,-149.4394,23.45,68,2.51,90
San Andrés,CO,12.5847,-81.7006,86.0,58,9.22,20
Lodja,CD,-3.4833,23.4333,73.78,84,1.48,100
Makakilo City,US,21.3469,-158.0858,68.92,73,8.05,20
Tasiilaq,GL,65.6145,-37.6368,39.2,81,14.97,75
Manokwari,ID,-0.8667,134.0833,77.59,80,5.23,100
Ahipara,NZ,-35.1667,173.1667,64.31,75,7.4,91
Grand Gaube,MU,-20.0064,57.6608,75.99,88,1.01,100
Taksimo,RU,56.3444,114.8794,-19.7,80,1.43,91
Price,US,39.5994,-110.8107,50.0,27,6.91,1
Uruana,BR,-15.4981,-49.6875,76.86,84,6.76,100
Ørnes,NO,66.8689,13.7078,30.56,87,21.85,75
Sitka,US,57.0531,-135.33,42.8,61,16.11,90
Zhezkazgan,KZ,47.8043,67.7144,25.61,97,10.36,100
Arrondissement du Havre,FR,49.5833,0.3333,37.26,70,9.22,0
Ginir,ET,7.1333,40.7,62.08,54,5.48,100
Zemio,CF,5.0314,25.1361,78.75,22,4.29,84
Waipawa,NZ,-41.4122,175.5153,62.28,77,26.46,90
Verkhoyansk,RU,67.5447,133.385,-27.18,83,1.86,96
Portland,US,45.5234,-122.6762,47.84,81,6.91,90
Forbes,AU,-33.3833,148.0167,53.01,59,1.01,0
Tiznit Province,MA,29.5833,-9.5,56.46,81,8.43,94
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.4,100,0.69,90
Şarkîkaraağaç,TR,38.0794,31.3664,40.93,63,4.03,0
Provideniya,RU,64.3833,-173.3,-0.58,91,6.24,100
Walvis Bay,NA,-22.9575,14.5053,66.2,77,13.8,0
Rosario,AR,-32.9468,-60.6393,86.88,47,11.5,0
Nkowakowa,ZA,-23.8878,30.2871,68.0,52,2.3,0
Pacific Grove,US,36.6177,-121.9166,57.6,71,5.75,1
Gualan,GT,15.1333,-89.3667,93.2,27,9.22,0
Kruisfontein,ZA,-34.0033,24.7314,68.0,81,3.0,0
Shenjiamen,CN,29.9576,122.298,50.88,90,7.96,100
Nkhotakota,MW,-12.9274,34.2961,73.45,89,6.69,100
Chifeng,CN,42.2683,118.9636,9.52,77,2.84,0
Vestmanna,FO,62.1564,-7.1664,39.2,87,9.22,75
Hambantota,LK,6.1241,81.1185,76.95,79,7.45,75
Ushtobe,KZ,45.2514,77.9838,30.24,91,7.49,0
Dikson,RU,73.5069,80.5464,-29.97,82,11.88,99
Moyale,KE,3.5167,39.0584,75.02,38,11.54,100
Sambava,MG,-14.2667,50.1667,77.76,88,6.26,100
Dvinskoy,RU,62.1535,45.1175,-1.44,92,3.94,83
Bo Rai,TH,12.5728,102.5371,79.0,99,1.54,67
Ajdabiya,LY,30.7554,20.2263,64.4,28,16.84,0
Rome,US,43.2128,-75.4557,27.48,46,19.57,40
Roald,NO,62.5833,6.1333,37.08,87,18.41,75
Qasigiannguit,GL,68.8193,-51.1922,21.2,86,9.22,40
Daru,PG,-9.0763,143.2092,76.98,88,9.13,96
Clarence Town,AU,-32.5833,151.7833,64.13,94,6.91,90
Port Hawkesbury,CA,45.6169,-61.3485,26.29,50,6.91,90
Iqaluit,CA,63.7506,-68.5145,1.4,78,28.77,75
Tatarsk,RU,55.219,75.9828,25.34,98,19.08,100
Kibre Mengist,ET,5.8833,38.9833,64.09,57,3.44,100
Kununurra,AU,-15.7667,128.7333,73.4,100,5.75,90
Nikolskoye,RU,59.7035,30.7861,20.77,68,6.71,0
Tegul'det,RU,57.3064,88.1667,23.2,97,13.91,100
Chāndbāli,IN,20.7833,86.7667,70.63,84,9.93,25
Três Passos,BR,-27.4556,-53.9319,77.0,73,5.99,21
Labuan,MY,5.2767,115.2417,77.0,94,10.33,20
Hemnesberget,NO,66.2333,13.6333,26.53,100,3.44,75
Kiama,AU,-34.6833,150.8667,59.0,82,1.99,46
Yenagoa,NG,4.9247,6.2642,80.19,83,8.1,53
Kidal,ML,18.4411,1.4078,81.45,16,7.45,80
Biltine,TD,14.5333,20.9167,77.41,17,11.7,0
Zwedru,LR,6.0667,-8.1281,75.04,92,5.53,100
Pangody,RU,65.85,74.4859,4.75,96,3.31,95
Melivoia,GR,39.75,22.8,47.16,71,5.75,20
Botngård,NO,63.7653,9.8111,39.78,93,29.93,75
Adrar,MR,20.5022,-10.0711,76.91,16,8.03,0
Lompoc,US,34.6391,-120.4579,59.0,63,11.5,20
Ruteng,ID,-8.6136,120.4721,62.55,100,0.67,100
Thompson,CA,55.7435,-97.8558,17.6,79,4.61,90
Iranshahr,IR,27.2025,60.6848,82.4,24,4.61,0
La Rioja,ES,42.25,-2.5,50.52,76,6.91,0
Bethel,US,41.3712,-73.414,34.29,21,17.27,1
Amahai,ID,-3.3333,128.9167,78.01,80,5.12,100
Rumburk,CZ,50.9515,14.557,27.34,80,3.98,0
Kalabo,ZM,-14.97,22.6814,70.23,56,3.87,59
Necochea,AR,-38.5473,-58.7368,66.99,62,4.0,17
Lianran,CN,24.9227,102.485,51.8,37,8.95,0
Antofagasta,CL,-23.65,-70.4,73.4,64,13.8,20
Katobu,ID,-4.9408,122.5276,74.19,92,4.63,100
Bocaiúva,BR,-17.1078,-43.815,89.6,40,8.05,78
Goroka,PG,-6.0834,145.3873,61.21,88,2.51,99
Talnakh,RU,69.4865,88.3972,-11.67,82,4.7,57
Saldanha,ZA,-33.0117,17.9442,69.8,52,3.44,0
Uribia,CO,11.7139,-72.266,86.45,53,8.21,36
Ol'ga,RU,43.7444,135.2892,6.33,74,16.91,0
Moerai,PF,-22.4333,-151.3333,80.53,74,16.22,61
Lusambo,CD,-4.9667,23.45,74.59,84,2.93,92
Cabinda,AO,-5.55,12.2,81.46,86,9.98,100
Senanga,ZM,-16.1167,23.2667,70.74,58,3.42,43
Rehoboth,NA,-23.3167,17.0833,77.81,26,2.1,70
High Level,CA,58.5169,-117.136,19.4,86,9.22,75
Yangi Marg`ilon,UZ,40.4272,71.7189,46.4,39,9.22,91
Severobaykal'sk,RU,55.65,109.3167,-4.94,80,3.96,50
Batagay,RU,67.6333,134.6333,-28.12,84,0.69,100
Hede,CN,33.7681,120.2517,43.16,89,17.74,100
La Santisima Trinidad,BO,-14.8333,-64.9,72.91,97,7.74,100
Usta Muhammad,PK,28.1794,68.0445,71.58,22,4.7,0
Klaksvík,FO,62.2266,-6.589,41.0,81,10.36,75
Develi,TR,38.3906,35.4922,30.2,55,5.75,0
El Rosario,MX,24.2556,-107.1828,80.87,39,5.75,20
Mar del Plata,AR,-38.0023,-57.5575,64.65,63,14.97,75
Dongying,CN,37.4564,118.4856,29.55,84,17.29,100
Lenger,KZ,42.183,69.8839,33.8,75,4.47,0
Biskamzha,RU,53.4497,89.5272,17.73,92,9.66,40
Tabuk,PH,17.4189,121.4443,69.13,87,2.1,3
Mackenzie,CA,55.2999,-123.1698,32.0,93,2.21,90
Saint Paul Harbor,US,57.79,-152.4072,32.0,93,4.61,90
Jacksonville,US,30.3322,-81.6556,65.91,52,12.66,75
Bud,US,39.447,-86.1758,45.91,36,5.75,1
Samarai,PG,-10.6167,150.6667,80.65,78,11.83,91
Camaná,PE,-16.6228,-72.7111,76.57,69,6.87,61
Dandong,CN,40.1292,124.3947,19.8,73,20.31,0
Port Augusta,AU,-32.5,137.7667,61.93,88,5.75,95
Vidalia,US,32.2177,-82.4135,68.0,21,3.44,1
Bowen,AU,-20.0167,148.2333,68.0,94,3.4,0
Lugovoy,KZ,42.9472,72.7644,30.97,89,5.44,0
Fairview,US,40.8126,-73.999,36.37,20,18.41,1
Ambulu,ID,-8.345,113.6058,75.27,83,3.33,59
Marystown,CA,47.1666,-55.1483,31.78,96,10.25,81
Souillac,MU,-20.5167,57.5167,77.0,83,3.44,40
Lienz,AT,46.8289,12.769,37.8,83,3.0,51
Altay,CN,47.8667,88.1167,13.96,77,5.7,2
San Miguel,SV,13.4833,-88.1833,93.02,36,2.3,20
Muncar,ID,-8.4333,114.3333,74.77,84,4.09,100
Huicungo,PE,-7.2833,-76.8,89.6,66,4.61,40
Chiredzi,ZW,-21.05,31.6667,69.78,63,3.69,0
Vice,PE,-5.4167,-80.7833,87.82,45,16.64,10
Ostrovnoy,RU,68.0531,39.5131,8.64,92,4.61,92
Iracoubo,GF,5.4802,-53.2011,80.73,75,12.84,32
Esmeraldas,BR,-19.7625,-44.3139,86.59,40,9.22,40
Gorontalo,ID,0.5412,123.0595,73.18,86,2.21,100
Lebu,CL,-37.6167,-73.65,64.09,73,10.0,2
Karratha,AU,-20.7377,116.8463,79.52,75,11.32,0
Beloha,MG,-25.1667,45.05,74.32,89,6.53,12
Zhangaözen,KZ,43.3,52.8,36.82,73,4.97,69
Vestmannaeyjar,IS,63.4427,-20.2734,44.6,87,11.5,90
Brasília de Minas,BR,-16.2064,-44.4333,81.39,72,1.99,14
Ibrā’,OM,22.6906,58.5334,69.28,37,1.12,0
Chamalières,FR,45.7756,3.0631,41.95,75,10.36,90
Piaçabuçu,BR,-10.4056,-36.4344,80.85,71,11.27,0
Kargasok,RU,59.0556,80.8572,19.33,97,6.91,100
Taltal,CL,-25.4,-70.4833,72.05,64,5.79,22
Ancud,CL,-41.8697,-73.8203,74.62,38,4.61,0
Barra do Garças,BR,-15.89,-52.2567,81.01,76,5.46,78
Taree,AU,-31.9,152.4667,64.24,88,6.91,90
Chernyshevskiy,RU,63.0128,112.4714,-3.89,93,4.68,100
Nouakchott,MR,18.0858,-15.9785,73.4,56,12.66,0
Killybegs,IE,54.6333,-8.45,41.0,65,8.05,90
Anito,PH,12.4497,125.2886,76.1,85,7.43,82
Nyurba,RU,63.2842,118.3319,-13.54,88,5.01,95
Laas,IT,46.6166,10.7002,42.75,80,6.91,0
Alofi,NU,-19.0595,-169.9187,80.6,89,5.75,100
Fengrun,CN,39.8333,118.1167,24.44,68,9.91,85
Jangaon,IN,17.7167,79.1833,69.93,28,6.06,0
Codrington,AU,-38.2667,141.9667,54.86,73,9.93,60
Gouré,NE,13.9835,10.2704,84.0,6,5.99,0
Biak,ID,-0.9131,122.8766,75.81,83,5.1,100
Gweta,BW,-20.1833,25.2333,82.51,31,2.55,73
Rudnogorsk,RU,57.2639,103.7519,10.29,96,6.69,100
Merauke,ID,-8.4667,140.3333,78.57,87,9.31,63
Simao,CN,22.7886,100.9748,52.66,44,0.54,0
Dhārchula,IN,29.85,80.5333,52.65,38,8.01,0
Ballina,AU,-28.8667,153.5667,67.37,94,3.44,90
Sungai Penuh,ID,-2.0833,101.3833,64.85,93,2.51,100
Lourdes,FR,43.1,-0.05,53.6,82,8.05,90
Georgiyevka,KZ,43.0369,74.7114,30.2,93,4.47,0
Rūdarpur,IN,26.4394,83.6144,63.52,29,5.93,0
Naze,JP,28.3667,129.4833,60.67,79,11.12,35
Honiara,SB,-9.4333,159.95,78.87,80,1.54,100
Kenai,US,60.5544,-151.2583,23.36,86,8.05,90
Billings Metropolitan Area,US,45.7833,-108.5007,57.45,30,17.27,75
Kahului,US,20.8947,-156.47,70.57,60,12.66,20
Concepción del Uruguay,AR,-32.4825,-58.2372,81.61,53,5.99,0
Champerico,GT,14.3,-91.9167,91.4,43,9.22,40
Nanortalik,GL,60.1432,-45.2371,33.39,91,5.59,100
Kaseda-shirakame,JP,31.4167,130.3167,58.33,82,7.0,93
Bela,IN,25.9333,81.9833,68.07,24,8.32,72
Homer,US,59.6425,-151.5483,29.64,93,3.44,90
Maragogi,BR,-9.0122,-35.2225,79.7,78,10.42,100
Zonguldak,TR,41.25,31.8333,43.34,61,4.56,0
Kieta,PG,-6.2167,155.6333,79.2,81,6.04,100
Manggar,ID,-2.8833,108.2667,77.65,83,5.95,31
Alta Floresta,BR,-9.8756,-56.0861,91.4,52,4.61,40
Muisne,EC,0.6,-80.0333,78.8,94,9.22,75
Mayumba,GA,-3.432,10.6554,80.29,88,8.3,100
Sam Chuk,TH,14.7576,100.0899,78.01,90,6.64,39
Nantong,CN,32.0303,120.8747,48.54,90,1.01,100
Saint-François,FR,46.4154,3.9054,42.44,70,17.27,90
Arlit,NE,18.7369,7.3853,81.99,14,8.19,51
Manger,NO,60.6414,5.0414,36.77,1,1.99,100
Panubigan,PH,7.4281,123.3466,77.23,83,8.12,23
Los Llanos de Aridane,ES,28.6585,-17.9182,64.4,72,21.85,20
Kiryat Gat,IL,31.61,34.7642,51.89,100,2.06,0
Kailua,US,21.4022,-157.7394,68.86,73,8.05,75
Katsuura,JP,35.1333,140.3,51.15,93,8.05,90
Partizanskoye,RU,55.5006,94.39,22.53,91,17.69,100
Fairbanks,US,64.8378,-147.7164,6.1,85,0.49,90
Assaré,BR,-6.8744,-39.875,82.83,67,2.01,100
Araouane,ML,18.9048,-3.5265,80.08,17,10.67,0
Kuna,US,43.4918,-116.4201,62.71,24,14.97,1
Homa Bay,KE,-0.5273,34.4571,72.95,71,3.87,100
Aquiraz,BR,-3.9014,-38.3911,84.07,70,12.66,40
Inhambane,MZ,-23.865,35.3833,76.33,86,8.12,0
Cabedelo,BR,-6.9811,-34.8339,84.2,74,14.97,40
Roebourne,AU,-20.7833,117.1333,79.59,71,11.01,0
Daman,IN,20.4167,72.85,76.5,58,1.19,0
Creel,MX,27.75,-107.6333,65.66,23,7.47,0
Monrovia,LR,6.3005,-10.7969,80.6,89,7.23,75
Abashiri,JP,44.0213,144.2697,33.01,77,10.0,100
Terrace,CA,54.5163,-128.6035,35.6,80,17.27,90
Fort Smith,US,35.3859,-94.3986,54.41,50,21.85,90
Belaya Gora,RU,68.5333,146.4167,-15.12,87,23.87,100
Sinnamary,GF,5.3833,-52.95,80.62,75,12.53,62
Green Valley,US,31.8543,-110.9937,73.38,14,14.97,1
Kamaishi,JP,39.2667,141.8833,46.72,82,7.0,20
Palmer,US,42.1584,-72.3287,30.47,18,17.27,40
Puerto Madero,MX,14.7208,-92.4215,89.6,51,11.5,75
Lujiang,CN,31.2581,117.2817,50.0,87,8.95,100
Sabinas,MX,27.85,-101.1167,78.76,17,22.12,46
Dalbandin,PK,28.8947,64.4101,70.95,22,3.78,38
Gornyak,RU,50.9942,81.4661,16.21,92,17.58,21
Ahome,MX,25.9167,-109.1833,73.4,43,11.5,1
Dhuwaran,IN,22.2333,72.8,77.29,24,5.73,0
Huilong,CN,31.8111,121.655,49.89,88,7.0,100
Castleisland,IE,52.2333,-9.4667,42.8,75,11.5,90
Guerrero Negro,MX,27.9769,-114.0611,73.54,26,9.69,0
